Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Shushak | Durpan | Fourth floor landing | Sun Mar  2 07:19:59 2003
Rohhekedon | Xzar | The Main Street | Sun Mar  2 18:42:27 2003
Zornath | Vensharin | By the Temple Altar | Sun Mar  2 19:05:30 2003
Tael | Iceman | Market Square | Sun Mar  2 19:14:29 2003
Ujehirra | Onho | Entering the village | Sun Mar  2 19:28:39 2003
Rinaldi | Zornath | By the beautiful waterfall | Sun Mar  2 19:40:50 2003
Vensharin | Rohhekedon | The brawling balcony | Sun Mar  2 19:44:30 2003
Onho | Iceman | The village shrine | Sun Mar  2 19:45:01 2003
Bonza | Iceman | Entering the village | Sun Mar  2 19:55:32 2003
Rohhekedon | Alezath | The Temple Of Mota | Sun Mar  2 19:58:05 2003
Gaspar | Samrik | The secret room | Sun Mar  2 20:01:27 2003
Vensharin | Samrik | The dwarf forest | Sun Mar  2 20:11:04 2003
Onho | Maelgwn | High Above the Rushing River | Sun Mar  2 20:14:56 2003
Darantin | Alezath | The dwarf forest | Sun Mar  2 20:20:17 2003
Alezath | Samrik | By the Temple Altar | Sun Mar  2 20:22:47 2003
Alezath | Samrik | Entrance to Mud School | Sun Mar  2 20:31:39 2003
Ochakovo | Selfren | In a bare room filled with rubble | Sun Mar  2 20:47:38 2003
Iceman | Maelgwn | Cave Entrance | Sun Mar  2 20:48:24 2003
Samrik | Zornath | The Temple Square | Sun Mar  2 21:09:04 2003
Tael | Maelgwn | In the air... | Sun Mar  2 21:17:36 2003
Tael | Zornath | A Winding Trail Through the Downs | Sun Mar  2 21:33:42 2003
Bobby | Maelgwn | The bend in the trail in the dwarf forest | Sun Mar  2 21:43:20 2003
Maelgwn | Bobby | The village shrine | Sun Mar  2 21:48:55 2003
Tael | Amin | Forge entrance | Sun Mar  2 22:25:32 2003
Tertalith | Desciple | The dwarf forest | Mon Mar  3 03:06:18 2003
Durpan | Drdre | Outside the Entrance to the Golden Citadel | Mon Mar  3 04:11:33 2003
Korbu | Samrik | West Main Street | Mon Mar  3 07:37:45 2003
Norve | Samrik | A Garden Path | Mon Mar  3 07:44:28 2003
Niennah | Hru | By the Temple Altar | Mon Mar  3 08:26:54 2003
Illiet | Hru | The Quadruple Junction Under the Dump | Mon Mar  3 08:31:46 2003
Norve | Vensharin | Entrance to Priest's Guild | Mon Mar  3 09:42:28 2003
Vensharin | Tael | Wall Road | Mon Mar  3 10:10:04 2003
Tael | Raider | The Southern border | Mon Mar  3 10:18:03 2003
Tael | Zokzak | At a muddy track | Mon Mar  3 10:36:23 2003
Hru | Hru | Village road | Mon Mar  3 10:38:43 2003
Tael | Hedaya | Down the path into a dead end | Mon Mar  3 10:49:45 2003
Vensharin | Zokzak | By the Temple Altar | Mon Mar  3 10:55:22 2003
Zokzak | Vensharin | The Quadruple Junction Under the Dump | Mon Mar  3 11:03:27 2003
Vensharin | Zokzak | Grebe's Tavern | Mon Mar  3 11:10:58 2003
Tael | Hru | Common Square | Mon Mar  3 11:14:50 2003
Zokzak | Vensharin | Market Square | Mon Mar  3 11:17:02 2003
Zokzak | Tael | The bend in the trail in the dwarf forest | Mon Mar  3 11:25:58 2003
Vensharin | Zokzak | The bend in the trail in the dwarf forest | Mon Mar  3 11:27:55 2003
Sincere | Hru | By the beautiful waterfall | Mon Mar  3 11:38:47 2003
Tael | Kardon | On the Dark River | Mon Mar  3 13:23:25 2003
Kardon | Zokzak | By the Temple Altar | Mon Mar  3 13:24:36 2003
Laliene | Zokzak | By the Temple Altar | Mon Mar  3 13:25:25 2003
Geshae | Iceman | The village shrine | Mon Mar  3 15:31:16 2003
Geshae | Mzerd | Along the Eastern Road | Mon Mar  3 15:33:58 2003
Faunus | Fierath | The Temple Of Mota | Mon Mar  3 15:48:33 2003
Livien | Fierath | Outside the East Gate of Midgaard | Mon Mar  3 15:52:37 2003
Solan | Xzar | Mage's Bar | Mon Mar  3 16:38:28 2003
Raider | Rohhekedon | On the second floor | Mon Mar  3 16:46:53 2003
Rohhekedon | Rohhekedon | On the second floor | Mon Mar  3 16:48:09 2003
Rohhekedon | Raider | The darker dwarf forest | Mon Mar  3 17:01:00 2003
Iceman | Xzar | Mid-air | Mon Mar  3 17:08:44 2003
Titanthius | Xzar | Entrance Hall to the Guild of Swordsmen | Mon Mar  3 17:19:33 2003
Elyndor | Raider | The Temple Square | Mon Mar  3 17:25:55 2003
Rohhekedon | Xzar | City Entrance | Mon Mar  3 18:04:41 2003
Faunus | Xzar | At a muddy track | Mon Mar  3 18:28:23 2003
Darantin | Moby | At a muddy track | Mon Mar  3 19:45:58 2003
Iliila | Moby | A Road | Mon Mar  3 19:49:34 2003
Desciple | Moby | Dragon Road | Mon Mar  3 20:46:50 2003
Vensharin | Maelgwn | By the beautiful waterfall | Mon Mar  3 20:51:47 2003
Tael | Samrik | Grime's forge | Mon Mar  3 20:58:06 2003
Tael | Maelgwn | The dwarf forest | Mon Mar  3 21:05:19 2003
Moby | Desciple | The Temple Of Mota | Mon Mar  3 21:18:59 2003
Nosilla | Hrishgrin | Melancholy's Maps | Mon Mar  3 21:34:56 2003
Tael | Moby | Melancholy's Maps | Mon Mar  3 21:35:17 2003
Tael | Moby | The Temple Square | Mon Mar  3 21:40:02 2003
Hrishgrin | Zornath | A trail in the dwarf forest | Mon Mar  3 22:05:00 2003
Rayden | Hrishgrin | The Mouth of a Cave | Mon Mar  3 22:10:51 2003
Hrishgrin | Zornath | A rough trail | Mon Mar  3 22:12:41 2003
Sincere | Zornath | A rough trail | Mon Mar  3 22:13:10 2003
Nosilla | Moby | The Eastern Market Square | Mon Mar  3 22:37:39 2003
Rayden | Maelgwn | The end of Elm Street | Mon Mar  3 22:38:44 2003
Duonar | Maelgwn | City Hall | Mon Mar  3 22:45:20 2003
Kbleddon | Zornath | At a muddy track | Mon Mar  3 22:48:19 2003
Hru | Maelgwn | Lost in Space | Mon Mar  3 23:35:27 2003
Trylartin | Maelgwn | The Northeast Corner | Tue Mar  4 00:09:21 2003
Trylartin | Iceman | By the Temple Altar | Tue Mar  4 00:20:22 2003
Trylartin | Iceman | By the Temple Altar | Tue Mar  4 00:21:02 2003
Moby | Hru | Altar of the Damned | Tue Mar  4 00:51:34 2003
Hru | Desciple | Market Square | Tue Mar  4 01:24:30 2003
Hru | Desciple | Entrance to Mud School | Tue Mar  4 03:31:12 2003
Fierath | Raman | Inside the West Gate of Midgaard | Tue Mar  4 04:12:58 2003
Raman | Executioner | The steep foothills | Tue Mar  4 06:02:13 2003
Darphang | Hru | The village shrine | Tue Mar  4 10:57:42 2003
Mothrak | Hru | The Green Vines | Tue Mar  4 11:03:47 2003
Reak | Hru | The Jeweller's Shop | Tue Mar  4 11:45:13 2003
Amigas | Desciple | By the Temple Altar | Tue Mar  4 13:59:19 2003
Morly | Darantin | Bridge before the Imperial Palace | Tue Mar  4 17:19:12 2003
Gaspar | Maelgwn | Second Level | Tue Mar  4 22:03:58 2003
Bigelow | Bigelow | The village shrine | Tue Mar  4 22:14:16 2003
Tertalith | Maelgwn | A dusty path | Tue Mar  4 22:17:23 2003
Bigelow | Selfren | At the top of a short staircase | Tue Mar  4 22:49:09 2003
Kbleddon | Quentin | Before the gates of the kingdom | Tue Mar  4 23:09:28 2003
Quentin | Bigelow | By the Temple Altar | Tue Mar  4 23:09:39 2003
Durpan | Vanlain | By the Temple Altar | Wed Mar  5 00:50:56 2003
Gaspar | Stigladvir | The Catacombs | Wed Mar  5 01:46:08 2003
Kalebellan | Hru | The Temple Of Mota | Wed Mar  5 02:06:30 2003
Illiet | Hru | The Temple Of Mota | Wed Mar  5 03:57:35 2003
Illiet | Stigladvir | A Large Cavern | Wed Mar  5 04:05:48 2003
Illiet | Stigladvir | By the Temple Altar | Wed Mar  5 04:20:35 2003
Swobl | Hedaya | A triple junction | Wed Mar  5 04:48:08 2003
Hedaya | Stigladvir | The Main Street | Wed Mar  5 04:56:49 2003
Niennah | Stigladvir | The Main Street | Wed Mar  5 05:00:25 2003
Stigladvir | Niennah | Cell | Wed Mar  5 05:13:56 2003
Darantin | Khaor | The dwarf forest | Wed Mar  5 13:00:54 2003
Darantin | Khaor | The Cross Roads | Wed Mar  5 13:13:07 2003
Khaor | Samrik | By the beautiful waterfall | Wed Mar  5 14:03:45 2003
Faunus | Maelgwn | At a muddy track | Wed Mar  5 14:22:10 2003
Maelgwn | Xzar | {YColton Circle 300 Block{x | Wed Mar  5 14:35:18 2003
Maelgwn | Xzar | The Northwestern Corner of the Village Square | Wed Mar  5 14:49:17 2003
Sincere | Mendakarian | The Northwestern Corner of the Village Square | Wed Mar  5 14:50:40 2003
Vanlain | Khaor | By the Temple Altar | Wed Mar  5 17:05:12 2003
Khaor | Nosilla | Standing in the Courtyard | Wed Mar  5 17:10:22 2003
Khaor | Onho | On a road | Wed Mar  5 17:16:42 2003
Mendakarian | Raider | On the Concourse near the park | Wed Mar  5 18:14:17 2003
Dexter | Sincere | The Mystical Path | Wed Mar  5 22:16:43 2003
Darantin | Duonar | A hallway in the castle | Wed Mar  5 23:35:53 2003
Darantin | Bigelow | Entering the village | Thu Mar  6 00:00:43 2003
Bigelow | Iliila | Mountain | Thu Mar  6 00:31:20 2003
Bonza | Bigelow | The Temple Of Mota | Thu Mar  6 02:15:46 2003
Bonza | Mendakarian | Inside the West Gate of Midgaard | Thu Mar  6 02:36:19 2003
Khaor | Hru | Market Square | Thu Mar  6 04:09:12 2003
Kezz | Hru | By the Temple Altar | Thu Mar  6 04:48:27 2003
Bonza | Hru | Inside the Eastern Gate of New Thalos | Thu Mar  6 05:20:30 2003
Kezz | Bigelow | Market Square | Thu Mar  6 05:54:33 2003
Durpan | Mendakarian | Main Street | Thu Mar  6 06:03:41 2003
Blobqurt | Mendakarian | The Temple Of Mota | Thu Mar  6 06:19:32 2003
Mendakarian | Mendakarian | Entering the village | Thu Mar  6 06:27:14 2003
Mendakarian | Bigelow | Entering the village | Thu Mar  6 06:28:07 2003
Durpan | Kilagor | A Dirt Path Through the Downs | Thu Mar  6 06:34:18 2003
Kilagor | Kilagor | A Dirt Path Through the Downs | Thu Mar  6 06:37:24 2003
Dranitnon | Kilagor | The Temple Of Mota | Thu Mar  6 08:31:38 2003
Vanlain | Kilagor | The Main Street | Thu Mar  6 08:35:58 2003
Moby | Kilagor | By the Temple Altar | Thu Mar  6 09:10:53 2003
Dranitnon | Hru | A dressing room | Thu Mar  6 10:21:24 2003
Faunus | Hru | Grassy fields | Thu Mar  6 10:51:25 2003
Morly | Hru | Inside the West Gate of New Thalos | Thu Mar  6 12:31:24 2003
Morly | Kilagor | Market Square | Thu Mar  6 13:02:53 2003
Morly | Desciple | West Main Street | Thu Mar  6 13:30:08 2003
Sukanah | Samrik | The Temple Of Mota | Thu Mar  6 14:15:18 2003
Kilagor | Desciple | The Mystical Path | Thu Mar  6 14:36:05 2003
Faunus | Bigelow | Entering the village | Thu Mar  6 15:02:44 2003
Darantin | Faunus | The dwarf forest | Thu Mar  6 16:52:51 2003
Nosilla | Zornath | The Inner Gates | Thu Mar  6 16:59:59 2003
Manga | Loser | Through the deep forest | Thu Mar  6 17:28:12 2003
Faunus | Faunus | Through the deep forest | Thu Mar  6 17:34:27 2003
Zornath | Loser | A Muddy Path Through the Waterlogged Timber | Thu Mar  6 17:35:41 2003
Kobe | Bigelow | Entering the village | Thu Mar  6 18:37:02 2003
Kobe | Bigelow | Entering the village | Thu Mar  6 18:37:41 2003
Kobe | Bigelow | The bend in the trail in the dwarf forest | Thu Mar  6 18:39:01 2003
Jagar | Fordus | The dwarf forest | Thu Mar  6 19:28:27 2003
Jagar | Fordus | A trail in the dwarf forest | Thu Mar  6 19:32:36 2003
Jagar | Fordus | At a muddy track | Thu Mar  6 19:33:54 2003
Jagar | Fordus | At a muddy track | Thu Mar  6 19:34:33 2003
Jagar | Fordus | At a muddy track | Thu Mar  6 19:35:07 2003
Jagar | Bigelow | By the beautiful waterfall | Thu Mar  6 19:35:44 2003
Jagar | Bigelow | By the beautiful waterfall | Thu Mar  6 19:36:17 2003
Jagar | Fordus | At a muddy track | Thu Mar  6 19:47:43 2003
Vanlain | Bigelow | Grassy fields | Thu Mar  6 19:57:44 2003
Iliila | Samrik | Sunrise | Thu Mar  6 21:05:34 2003
Khetard | Vanlain | Wall Road | Thu Mar  6 21:12:10 2003
Hrishgrin | Zornath | At a muddy track | Thu Mar  6 21:20:26 2003
Nilan | Vanlain | A trail at the end of the dwarf forest | Thu Mar  6 21:57:46 2003
Pashin | Fordus | The bend in the trail in the dwarf forest | Thu Mar  6 23:13:34 2003
Morgion | Hru | By the Temple Altar | Thu Mar  6 23:53:51 2003
Morgion | Hru | By the Temple Altar | Fri Mar  7 00:00:42 2003
Morgion | Hru | By the Temple Altar | Fri Mar  7 00:05:22 2003
Nosilla | Vanlain | Grassy fields | Fri Mar  7 00:13:16 2003
Morgion | Hru | By the Temple Altar | Fri Mar  7 00:25:38 2003
Hru | Slander | The Inner Gates | Fri Mar  7 00:52:25 2003
Carrok | Hru | By the Temple Altar | Fri Mar  7 03:09:24 2003
Kilagor | Samrik | Bell Tower | Fri Mar  7 03:15:02 2003
Carrok | Samrik | By the Temple Altar | Fri Mar  7 03:24:54 2003
Carrok | Hru | By the Temple Altar | Fri Mar  7 04:10:16 2003
Mazurek | Onho | At a muddy track | Fri Mar  7 10:06:02 2003
Iceman | Hrishgrin | Steep slope | Fri Mar  7 11:06:14 2003
Remmshokena | Vanlain | Grassy fields | Fri Mar  7 16:52:49 2003
Sincere | Bigelow | At a muddy track | Fri Mar  7 17:18:39 2003
Sincere | Vanlain | By the beautiful waterfall | Fri Mar  7 17:19:24 2003
Remmshokena | Mendakarian | Entrance Hall to the Guild of Swordsmen | Fri Mar  7 17:39:41 2003
Mendakarian | Bigelow | Entrance Hall to the Guild of Swordsmen | Fri Mar  7 17:40:11 2003
Theablar | Bigelow | The Temple Of Mota | Fri Mar  7 17:56:36 2003
Theablar | Onho | Inside the HQ | Fri Mar  7 18:07:52 2003
Shralar | Shralar | A Hallway in the Mansion | Fri Mar  7 18:57:18 2003
Darantin | Kilagor | Market Square | Fri Mar  7 19:05:19 2003
Sincere | Vanlain | By the beautiful waterfall | Fri Mar  7 19:35:14 2003
Darantin | Kilagor | The bend in the trail in the dwarf forest | Fri Mar  7 19:36:33 2003
Shralar | Vanlain | By the beautiful waterfall | Fri Mar  7 19:36:39 2003
Kithran | Shralar | By the Temple Altar | Fri Mar  7 19:51:21 2003
Shralar | Durpan | The Northern Arch | Fri Mar  7 19:57:19 2003
Kithran | Bigelow | Entrance to Mud School | Fri Mar  7 20:06:36 2003
Shralar | Bigelow | Entrance to the Grunting Boar Inn | Fri Mar  7 20:12:14 2003
Morgion | Vanlain | By the Temple Altar | Fri Mar  7 20:17:42 2003
Executioner | Kilagor | City Entrance | Fri Mar  7 20:32:51 2003
Kilagor | Kilagor | The Throne Room of the Nebula King | Fri Mar  7 20:38:04 2003
Executioner | Bigelow | The path intersection | Fri Mar  7 20:41:58 2003
Bigelow | Bigelow | Entrance to the Grunting Boar Inn | Fri Mar  7 20:49:06 2003
Myartin | Executioner | Market Square | Fri Mar  7 20:55:19 2003
Monica | Executioner | Market Square | Fri Mar  7 20:55:59 2003
Fordus | Executioner | The village shrine | Fri Mar  7 20:59:30 2003
Bigelow | Bigelow | The path intersection | Fri Mar  7 21:06:32 2003
Zornath | Vanlain | Entering the village | Fri Mar  7 22:40:22 2003
Morgion | Morgion | Bridge before the Imperial Palace | Fri Mar  7 22:42:51 2003
Morgion | Desciple | The Stairwell | Fri Mar  7 22:44:50 2003
Zornath | Fordus | Entering the village | Fri Mar  7 22:56:46 2003
Nosilla | Fordus | At a muddy track | Fri Mar  7 23:27:20 2003
Nosilla | Fordus | At a muddy track | Fri Mar  7 23:29:29 2003
Fordus | Desciple | By the beautiful waterfall | Fri Mar  7 23:30:26 2003
Nosilla | Samrik | Within the Palace of Dominace | Sat Mar  8 01:12:34 2003
Samrik | Desciple | The Mouth of a Cave | Sat Mar  8 01:23:44 2003
Vasikar | Desciple | The Pet Shop | Sat Mar  8 01:59:34 2003
Nosilla | Samrik | The Temple Square | Sat Mar  8 02:07:50 2003
Desciple | Einil | Market Square | Sat Mar  8 02:19:17 2003
Tael | Hru | By the Temple Altar | Sat Mar  8 06:05:52 2003
Jalli | Einil | A Dirt Path Through the Downs | Sat Mar  8 07:14:37 2003
Pashin | Vanlain | A trail in the dwarf forest | Sat Mar  8 15:06:04 2003
Pashin | Vanlain | At a muddy track | Sat Mar  8 15:08:47 2003
Ark | Ark | A stream of consciousness | Sat Mar  8 16:28:48 2003
Kithran | Bigelow | Main Street | Sat Mar  8 16:37:32 2003
Sincere | Bigelow | The dwarf forest | Sat Mar  8 16:53:10 2003
Executioner | Bigelow | The Overlook | Sat Mar  8 22:01:38 2003
Bigelow | Tahn | The darker dwarf forest | Sat Mar  8 23:04:02 2003
Bigelow | Bigelow | Village road | Sat Mar  8 23:30:11 2003
Tahn | Vanlain | At a muddy track | Sat Mar  8 23:35:13 2003
Tvar | Stigladvir | A dark encampment | Sun Mar  9 00:47:00 2003
Fhaed | Brutmin | The South Wall of the Dungeon | Sun Mar  9 00:47:22 2003
Brutmin | Fhaed | The South East Corner of the Dungeon | Sun Mar  9 00:51:19 2003
Zornath | Xzar | The village shrine | Sun Mar  9 02:45:18 2003
Shralar | Niennah | An Oozing Bog | Sun Mar  9 07:45:59 2003
Byshard | Niennah | The Common Square | Sun Mar  9 08:14:10 2003
Shralar | Hru | By the Temple Altar | Sun Mar  9 08:26:13 2003
Stigladvir | Stigladvir | A hole in the southern wall. | Sun Mar  9 11:12:57 2003
Akhar | Xzar | The Temple Square | Sun Mar  9 11:28:41 2003
Brutmin | Jesus | By the Temple Altar | Sun Mar  9 14:39:15 2003
Jesus | Shralar | Main Street | Sun Mar  9 15:05:45 2003
Jesus | Swawil | Main Street | Sun Mar  9 15:11:44 2003
Sorbe | Shralar | By the Temple Altar | Sun Mar  9 15:16:02 2003
Jesus | Swawil | The Temple Of Mota | Sun Mar  9 15:26:45 2003
Sorbe | Swawil | The Temple Of Mota | Sun Mar  9 15:27:24 2003
Niennah | Vhenkiratz | The Temple Of Mota | Sun Mar  9 15:30:50 2003
Vhenkiratz | Shralar | Inside the West Gate of Midgaard | Sun Mar  9 15:59:06 2003
Tertalith | Vhenkiratz | the clearing | Sun Mar  9 17:27:53 2003
Tertalith | Samrik | In a torture room | Sun Mar  9 17:50:13 2003
Kilagor | Samrik | Grebe's Tavern | Sun Mar  9 18:00:45 2003
Vhenkiratz | Khetard | By the Temple Altar | Sun Mar  9 18:19:19 2003
Rakk | Samrik | The Hay Loft | Sun Mar  9 18:32:09 2003
Khetard | Samrik | Cell | Sun Mar  9 18:45:21 2003
